position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18689850 0.0010000000 0
18859146 0.0010000000 0.0001692960
18859574 0.0010000000 0.0001697240
19041095 0.0010000000 0.0003512450
19218338 0.0010000000 0.0005284880
19264716 0.8344471480 0.0005748660
19268011 0.8359089085 0.0033243694
19269283 0.8359281986 0.0043876455
19272965 0.8371176778 0.0074655331
19279450 0.7984539316 0.0128942413
19282475 1.7326864205 0.0153095644
19282482 2.6659110636 0.0153216932
19282549 4.1679716664 0.0155003092
19282846 4.1783806837 0.0167381968
19282877 4.1411865867 0.0168677266
19282895 4.1068689177 0.0169422680
19283021 2.0417872688 0.0174597335
19283777 0.6499423226 0.0190033246
19284747 0.6589683206 0.0196337687
19285218 0.6898727627 0.0199441428
19285288 0.7486601780 0.0199924339
19285829 4.9245974592 0.0203974590
19286138 4.9275505097 0.0219191596
19288965 4.9955222676 0.0358493449
19289258 5.0438673403 0.0373130330
19290801 5.0279609451 0.0450957203
19291339 5.0289276307 0.0478007633
19291340 1.4814637833 0.0478057922
19292694 1.4820807691 0.0498116941
19293303 1.4834562846 0.0507142813
19293843 1.4860722814 0.0515153477
19294807 1.5428379586 0.0529479214
19295172 1.6411164547 0.0535110573
19295732 2.0153919088 0.0544300825
19296288 2.0037954887 0.0555506404
19296335 1.9892126875 0.0556448188
19296502 1.9656348679 0.0559770173
19296532 1.9391179468 0.0560359863
19296731 1.9164358528 0.0564218708
19297144 1.8900636562 0.0572133588
19297660 1.8557971974 0.0581886317
19297764 1.8267922925 0.0583816346
19298142 1.8254512297 0.0590721620
19298704 1.8372686238 0.0600980656
19299046 1.8888337407 0.0607264115
19299769 1.9354654084 0.0620920383
19299800 1.9906170678 0.0621520377
19300606 2.4217131080 0.0637564751
19300661 2.6174444234 0.0638896693
19301051 2.6731451635 0.0649104726
19301454 2.6733794638 0.0659877501
19301754 2.7087824848 0.0667897640
19301878 2.7266493940 0.0671256530
19301986 2.7222202719 0.0674201311
19302821 2.7222202719 0.0696931851
19303680 4.1395971055 0.0720315723
19309086 3.0563893368 0.0944102342
19309319 1.5588506923 0.0951223729
19315969 1.5583442194 0.1054887300
19318668 1.5750790431 0.1096947011
19319016 1.5752641601 0.1102428286
19319719 6.8072999562 0.1113502393
19319808 6.8088300254 0.1119560890
19324410 7.8970497998 0.1432903248
19325630 7.8965848130 0.1529247255
19326454 3.7166352635 0.1594315114
19328731 3.7633081495 0.1678942899
19328843 3.7632331591 0.1683157804
19329063 3.7644086332 0.1691436917
19329776 3.7572919288 0.1718277151
19330081 3.7563726676 0.1729736891
19330283 3.7562930801 0.1737324764
19330945 3.7564268927 0.1762191424
19331201 3.7573799409 0.1771807877
19331859 3.7586833475 0.1796531437
19333225 3.7603572405 0.1847875052
19333265 3.7609222381 0.1849379194
19333665 3.7604104070 0.1864422883
19333859 3.7603612849 0.1871718080
19334018 3.7603623442 0.1877697054
19334051 3.7591582798 0.1878937974
19334752 3.7603098828 0.1905289673
19335041 3.7602377015 0.1916156969
19335209 3.7602716780 0.1922474168
19335476 3.7606768454 0.1932514093
19335695 3.7577421199 0.1940749976
19336226 3.7672101478 0.1960703586
19336254 3.7664891716 0.1961758405
19336327 3.7614624984 0.1964507942
19336854 6.0585795520 0.1984330850
19337785 5.2996667740 0.2040736225
19340504 5.1927183271 0.2184834165
19342319 1.5882229909 0.2279082003
19352492 0.7183308532 0.2440651927
19359123 0.8335910489 0.2488284446
19359643 1.7649499649 0.2492619120
19360217 1.7643817635 0.2502749933
19360523 1.7614504656 0.2508148941
19361057 1.3471421652 0.2517555086
19361126 1.1064899558 0.2518484614
19361379 0.9243917615 0.2521284034
19362171 1.7894581216 0.2528605217
19362184 2.6308890468 0.2528837846
19362325 2.6332931578 0.2532547400
19362520 2.6063844404 0.2537682321
19362636 1.4734168697 0.2540705727
19362693 0.6516957829 0.2541545575
19363971 0.7720781205 0.2549874247
19365189 0.7736142615 0.2559278159
19365350 0.7728734617 0.2560523678
19365830 0.7677876501 0.2564233470
19365844 0.7665720297 0.2564340960
19365850 0.7658553263 0.2564386955
19366350 0.6862977600 0.2568216231
19366498 0.5589288750 0.2569231952
19369131 0.4554708973 0.2583948549
19374887 1.7602297318 0.2610165454
19375271 1.5940016118 0.2616924736
19377529 1.5848957558 0.2652917293
19379525 1.5840875613 0.2684551812
19380692 3.4184568253 0.2703038114
19380763 7.1419046943 0.2705465218
19381928 2.3326570229 0.2788668408
19383211 2.3427697788 0.2818596398
19384401 2.3291299288 0.2846475358
19384798 1.5062809094 0.2855722004
19385878 1.5069769782 0.2871989838
19385932 1.4758580229 0.2872803605
19385968 1.4465817770 0.2873334914
19386361 1.4442724133 0.2879019980
19386679 1.4044539547 0.2883612767
19387488 1.3267120661 0.2894974799
19387587 1.2229822360 0.2896288244
19388381 1.2226281994 0.2905998723
19391190 1.2225799274 0.2940342349
19391444 1.8904185702 0.2943447702
19392877 1.8905883467 0.2970537400
19394350 1.8911378631 0.2998385767
19396749 1.8920018412 0.3043754164
19400957 1.8974556523 0.3123369601
19402695 1.9049237355 0.3156347381
19406967 1.9398490833 0.3237725723
19409242 2.1806472408 0.3281857289
19410151 2.1964500087 0.3301679373
19411104 2.2014320555 0.3322611541
19411337 2.9026265014 0.3327740878
19411417 3.3292845611 0.3330062979
19411460 5.4009258883 0.3331494572
19411485 7.3818074141 0.3332844803
19412706 7.4153630319 0.3422976672
19413289 7.4175170865 0.3466208238
19413397 7.4194627300 0.3474219156
19415186 7.4202748646 0.3606953345
19416161 7.4192308307 0.3679301025
19416186 7.4206518207 0.3681155832
19416412 7.4100308002 0.3697926505
19416789 7.4100308002 0.3725862322
19416891 7.4374314143 0.3733420553
19417042 7.4497829938 0.3744651074
19417051 7.4720350346 0.3745321555
19417144 7.4934135699 0.3752270547
19417404 10.9188114012 0.3771753423
19417621 10.9185859721 0.3795447244
19418312 14.6704154324 0.3870894673
19418873 14.6704154324 0.3953195703
19419008 14.6827756531 0.3973000764
19419949 14.6037671891 0.4111165683
19420412 6.3308314402 0.4178781125
19420550 1.7732069513 0.4187517672
19421830 0.9757397838 0.4210214721
19424016 0.9743527517 0.4231544393
19424547 0.9715515833 0.4236718206
19426910 0.6921166753 0.4259675970
19431785 0.7661239726 0.4293416658
19431931 0.7661142292 0.4294535199
19432660 0.8203309313 0.4300120172
19433010 0.9288459786 0.4302991330
19433529 1.1069241364 0.4307812041
19434388 1.8338101448 0.4317320519
19435240 1.9354200150 0.4332944581
19435693 1.9463875095 0.4341712034
19436155 1.9378902318 0.4350704344
19437032 1.9366011980 0.4367699642
19437207 1.9143392854 0.4371088694
19437338 1.8968185135 0.4373596478
19437360 1.8951686723 0.4374013778
19437451 1.8889969184 0.4375738382
19438218 1.8827117322 0.4390226988
19440006 1.8953172270 0.4423889874
19441888 2.0146165087 0.4459559744
19442555 2.8506517242 0.4472997236
19442859 2.7587235834 0.4481663217
19442874 2.6484546957 0.4482077026
19442926 2.6477370888 0.4483454222
19443273 2.2287992945 0.4492641870
19444485 2.2278761361 0.4519654918
19447566 2.2071945369 0.4588295781
19447789 2.1844848770 0.4593217825
19449360 2.1686149236 0.4627536083
19453079 9.9377816822 0.4708186872
19453249 9.9380970720 0.4725081100
19453422 13.5482675301 0.4742274008
19456237 12.3541991796 0.5123657739
19456333 10.8443557324 0.5135517771
19456378 1.3044609843 0.5140397731
19457922 1.3043807293 0.5160538608
19458244 1.2948307092 0.5164738714
19459561 1.4146506317 0.5181791635
19459714 1.5550720444 0.5183956050
19460265 1.5481384588 0.5192524497
19460351 1.5421230101 0.5193855896
19460748 1.9291173682 0.5199978124
19461422 1.9263842406 0.5212980376
19462030 2.1922677406 0.5224692792
19462226 2.2198978443 0.5228989636
19463414 2.9185930753 0.5255362023
19463759 4.0680490997 0.5265431169
19463828 5.0521411573 0.5268238123
19464184 4.9425523084 0.5286223745
19464530 5.6768351413 0.5303324976
19464608 5.7251660409 0.5307752908
19464720 5.2618658122 0.5314165094
19465216 3.3168999119 0.5340263948
19465537 4.2415455377 0.5350911197
19466505 4.2262181696 0.5391969358
19466524 4.2080709758 0.5392772339
19467207 4.2660927220 0.5421513464
19467449 3.8478942614 0.5431837408
19467809 4.1633867169 0.5445689828
19467928 4.2212907829 0.5450644258
19468166 2.4115961365 0.5460690930
19468209 0.6133471160 0.5461727916
19468819 0.6115447347 0.5465469334
19469309 0.6173371841 0.5468465903
19469680 0.6533768037 0.5470756224
19470210 0.7239771591 0.5474219121
19470420 0.7652385844 0.5475739473
19470783 1.2429380462 0.5478517289
19470840 1.9370134616 0.5479225764
19471496 2.0912814034 0.5491932572
19471932 2.0948377498 0.5501050559
19471936 2.0951203380 0.5501134352
19472032 2.0955479060 0.5503145668
19472133 2.0930717213 0.5505262171
19472638 0.8363215524 0.5515832183
19473931 0.8182472238 0.5526645821
19474078 0.8180770580 0.5527848645
19474576 0.5881967247 0.5531922668
19478474 1.2940085796 0.5554850577
19478548 1.3920019391 0.5555808143
19478751 2.3323664593 0.5558633907
19479098 3.1741056190 0.5566727219
19479339 3.3556889211 0.5574376813
19479619 1.4842873210 0.5583772742
19479684 0.9813211479 0.5584737529
19480690 0.9742580437 0.5594609620
19481529 0.9711876328 0.5602783645
19481557 0.9697349099 0.5603055577
19482299 1.0286358245 0.5610251010
19482879 1.0568997080 0.5616217098
19483160 1.0633369772 0.5619186986
19483641 1.0685414457 0.5624301637
19483960 1.0741480577 0.5627710284
19483978 1.0779300306 0.5627903631
19484724 1.0804089936 0.5635944989
19484886 1.1153987151 0.5637695251
19485478 2.0529992121 0.5644298412
19485599 2.2044079686 0.5646782541
19485620 2.3005455775 0.5647245467
19485761 2.3069524596 0.5650489236
19485966 2.3000813058 0.5655218488
19485990 2.2911469125 0.5655770508
19486339 2.2925536635 0.5663766611
19486415 2.3471630539 0.5665508951
19486430 2.4059239310 0.5665861026
19486480 2.4029516812 0.5667063988
19486663 7.8519024172 0.5671461389
19487234 13.7421553165 0.5716295752
19487328 17.3134115433 0.5729213378
19487367 34.6973110455 0.5735965609
19487381 34.6973110455 0.5740823232
19487393 34.7129918981 0.5744986910
19487403 34.7229584363 0.5748458209
19487428 34.7229584363 0.5757138948
19487515 25.8635135407 0.5787347922
19487636 25.8635135407 0.5818642774
19487941 25.8646235174 0.5897526490
19488329 25.8644837760 0.5997881229
19489081 23.2678661189 0.6192382147
19489099 2.0789948698 0.6196570363
19489537 2.3320283199 0.6205676361
19489682 2.4011807757 0.6209057802
19489709 2.4133326026 0.6209706120
19489770 2.4902629085 0.6211178253
19489991 2.4552016726 0.6216681734
19490104 2.3622270072 0.6219456112
19490178 1.8337396620 0.6221204160
19490227 1.2288444484 0.6222102693
19490270 0.9657699526 0.6222631096
19490411 0.8503299841 0.6223992831
19490525 0.6626975198 0.6224962208
19490758 2.2025876845 0.6226506293
19491208 0.6082344375 0.6236417937
19491229 0.6087699463 0.6236545667
19491436 0.6050087140 0.6237805820
19491534 0.6036469297 0.6238398729
19491755 0.6035971785 0.6239732789
19491775 0.6039416063 0.6239853508
19491820 0.6036726106 0.6240125282
19492094 0.6003862608 0.6241779345
19492423 0.6003635821 0.6243754616
19492441 0.4214620485 0.6243862681
19492651 0.0668131884 0.6244747751
19493705 0.6308191941 0.6245451962
19493790 4.1312345139 0.6245988159
19494024 3.5514387047 0.6255655247
19494146 0.5343431082 0.6259988003
19494766 0.2991106665 0.6263300930
19494891 0.0399660610 0.6263674818
19495011 0.0035274219 0.6263722777
19495625 0.0035133920 0.6263744436
19495751 0.0034784764 0.6263748863
19496260 0.0034755428 0.6263766568
19496544 0.0034755428 0.6263776439
19496582 0.0034755428 0.6263777759
19500232 0.0034728703 0.6263904617
19502388 0.0034728703 0.6263979492
19502504 0.0034728703 0.6263983520
19502641 0.0034737415 0.6263988278
19502828 0.0034765645 0.6263994774
19502884 0.0034758672 0.6263996721
19503797 0.0035176929 0.6264028456
19504249 0.0035259247 0.6264044356
19504528 0.0159552718 0.6264054193
19504682 8.1456786546 0.6264078764
19507729 12.6921904261 0.6512277593
19507741 14.9833337946 0.6513800655
19507852 17.3417307247 0.6530432156
19508102 17.5599923171 0.6573786483
19508485 11.0496263190 0.6641041253
19510713 0.7232276075 0.6887226928
19511141 0.9070704303 0.6890322342
19513783 0.8293529804 0.6914287143
19513852 0.7913640444 0.6914859396
19513866 0.7777709163 0.6914970187
19514281 0.7633673466 0.6918197937
19514428 0.7452819332 0.6919320087
19514447 0.7279468139 0.6919461690
19514931 0.7268724071 0.6922984953
19515210 0.4715447796 0.6925012927
19515398 0.3546134533 0.6925899431
19515458 0.2745586673 0.6926112199
19515608 0.2324371507 0.6926524037
19515745 0.2092522179 0.6926842476
19516349 0.1974593838 0.6928106359
