position COMBINED_rate(cM/Mb) Genetic_Map(cM)
14431347 7.7503997990 0
14432618 7.7795390483 0.0098507581
14433624 7.7835963592 0.0176769744
14433659 7.7873426688 0.0179494003
14433758 7.7826808098 0.0187203472
14434713 7.6975521021 0.0261528074
14434960 7.6978157608 0.0280541028
14435070 5.4684352468 0.0289008625
14435171 5.4706044516 0.0294531745
14435207 5.4746257561 0.0296501162
14439734 3.9679066914 0.0544337470
14441016 3.9646758377 0.0595206034
14441342 3.9646758377 0.0608130877
14449374 3.8899570462 0.0926573640
14452292 3.8880817378 0.1040082587
14456927 3.8963737468 0.1220295176
14459493 3.9041128264 0.1320276126
14479437 3.9064318828 0.2098912388
14480059 3.9089049320 0.2123210394
14482325 3.9107381986 0.2211786180
14483902 3.9077054751 0.2273458522
14490036 3.9058695558 0.2513157175
14492336 3.9045004654 0.2602992175
14516814 0.0010000000 0.3558735799
14520628 0.0010000000 0.3558773939
14553179 0.0010000000 0.3559099449
14607431 0.0010000000 0.3559641969
14611423 0.0010000000 0.3559681889
14632600 0.0010000000 0.3559893659
14647521 0.0010000000 0.3560042869
14697416 6.9911839366 0.3560541819
14723553 6.9911376338 0.5387827565
14723811 6.9923876785 0.5405864700
14724414 7.1001327675 0.5448028797
14724572 7.1046234592 0.5459247007
14725582 7.1091103673 0.5531003704
14725954 7.1116716881 0.5557449595
14725981 7.1116481104 0.5559369746
14726071 6.9795472268 0.5565770229
14727194 5.3528747719 0.5644150545
14731379 4.7167646044 0.5868168354
14731604 4.4703313875 0.5878781074
14731852 2.6901928529 0.5889867496
14732357 2.0949491422 0.5903452970
14744825 1.7495453354 0.6164651229
14745495 0.5676160051 0.6176373183
14745570 0.5383496355 0.6176798895
14787120 0.1320265547 0.6400483168
14853585 0.1320266717 0.6488234618
14869239 0.4007860862 0.6508902073
14874095 0.4007301672 0.6528364245
14874187 0.4792417053 0.6528732917
14874473 0.4749965743 0.6530103548
14874682 0.3826054535 0.6531096291
14884399 0.1245231772 0.6568274063
14967208 0.2081385731 0.6671390461
14978987 0.2971124344 0.6695907104
14989899 0.3188986692 0.6728328012
14996145 0.3361183034 0.6748246423
14999031 0.3869275571 0.6757946798
15009152 0.4469344260 0.6797107736
15010874 0.5262011586 0.6804803946
15011921 0.5368552376 0.6810313273
15012034 0.5458188817 0.6810919919
15013820 0.6310848316 0.6820668244
15024918 0.6357901647 0.6890706039
15029282 0.0010000000 0.6918451922
15042015 0.0010000000 0.6918579252
15062084 0.0010000000 0.6918779942
15231640 0.2899757062 0.6920475502
15235274 0.2875819430 0.6931013219
15235303 0.2860422217 0.6931096618
15235618 0.2842585932 0.6931997651
15235788 0.2823673036 0.6932480890
15238253 0.2776366203 0.6939441244
15238287 0.2727000491 0.6939535641
15238684 0.2688369166 0.6940618260
15238968 0.2648634082 0.6941381757
15242245 0.2662701853 0.6950061331
15243070 2.3031786612 0.6952258060
15245262 2.7593015026 0.7002743736
15250393 2.0164943431 0.7144323496
15251440 2.5150288534 0.7165436192
15257135 2.1567191330 0.7308667085
15258039 1.5202909362 0.7328163826
15258423 0.4352120271 0.7334001743
15266974 0.4354076865 0.7371216724
15268577 0.4380028175 0.7378196309
15268900 0.4411589631 0.7379611058
15270125 0.4429079512 0.7385015255
15270296 0.4435052344 0.7385772628
15270307 0.4427908858 0.7385821413
15270816 0.4434275671 0.7388075219
15273449 0.4466337682 0.7399750667
15274090 0.4495971746 0.7402613589
15274264 0.4536908987 0.7403395888
15276164 0.4789453620 0.7412016015
15276210 0.5008657138 0.7412236330
15276762 1.8241305111 0.7415001109
15276882 1.8362669537 0.7417190066
15280134 2.4220770823 0.7476905467
15282425 2.4585481142 0.7532395253
15285893 2.5897859106 0.7617657701
15291574 2.7015981522 0.7764783439
15291828 1.0443981860 0.7771645498
15295707 2.3854228732 0.7812157704
15295998 4.0418680839 0.7819099285
15298335 3.3765862582 0.7913557742
15298847 2.1040517316 0.7930845863
15298867 0.1235929911 0.7931266674
15318376 0.1241970652 0.7955378430
15332978 0.1486463907 0.7973513686
15333120 0.1664824775 0.7973724764
15337305 0.1758250782 0.7980692055
15343545 0.1928279096 0.7991663540
15346809 0.2044636574 0.7997957443
15348466 0.2059077604 0.8001345406
15350900 0.2063043822 0.8006357201
15353226 0.2058144123 0.8011155841
15363606 0.2061726596 0.8032519377
15369290 0.2056379103 0.8044238231
15370420 0.2054429849 0.8046561939
15370526 0.2052648647 0.8046779709
15410710 0.2056834797 0.8129263342
15410792 0.2416282291 0.8129432002
15412698 0.4605199278 0.8134037436
15429825 0.6187582305 0.8212910684
15429907 0.9261646841 0.8213418066
15430088 1.2217006585 0.8215094424
15434027 1.2212656821 0.8263217213
15434720 1.3524517766 0.8271680584
15436022 1.5160257971 0.8289289507
15437138 1.6208696027 0.8306208354
15437597 1.7867281984 0.8313648146
15443359 2.2154074974 0.8416599425
15445079 2.7452985484 0.8454704434
15446732 6.2521890683 0.8500084219
15447504 6.3474757063 0.8548351118
15448748 6.2995926623 0.8627313716
15450109 6.2148655596 0.8713051172
15451043 3.7599132940 0.8771098017
15452483 2.5925329015 0.8825240768
15453066 1.8025497177 0.8840355235
15455353 1.8034152273 0.8881579547
15460378 1.8788380366 0.8972201162
15464609 0.8140859333 0.9051694799
15464762 0.6069913972 0.9052940351
15467656 0.6184416373 0.9070506682
15467705 0.6312989173 0.9070809718
15469639 6.7544788340 0.9083019039
15470474 6.7007036098 0.9139418938
15474749 0.5773562341 0.9425874017
15476707 0.5784284045 0.9437178652
15476864 0.5806374159 0.9438086785
15477416 0.5790284561 0.9441291903
15479107 0.5683892958 0.9451083274
15480497 0.5231848361 0.9458983885
15480911 0.4182434213 0.9461149871
15481987 0.3724541136 0.9465650170
15482604 0.3368057933 0.9467948212
15483078 0.3043092410 0.9469544671
15483717 0.2923371722 0.9471489207
15485666 0.2560049181 0.9477186859
15486294 0.2527154941 0.9478794570
15487266 0.2240088620 0.9481250964
15487330 0.1520869922 0.9481394330
15488619 0.1502430476 0.9483354731
15489150 0.0948166719 0.9484152522
15492280 0.0716308995 0.9487120284
15492342 0.0491574411 0.9487164695
15496233 0.0491574411 0.9489077411
15501886 0.0488996458 0.9491856281
15503478 0.0488949219 0.9492634763
15504307 0.0488949219 0.9493040102
15510409 0.0489384030 0.9496023670
15512490 0.0489370995 0.9497042079
15516658 0.0489421641 0.9499081777
15519227 0.0489921382 0.9500339101
15520023 0.0489975328 0.9500729079
15520593 0.0490556080 0.9501008364
15529033 0.1531619504 0.9505148658
15529300 0.2717851369 0.9505557600
15532611 0.3700872214 0.9514556406
15534984 1.0003784492 0.9523338576
15534992 1.5130754732 0.9523418606
15535383 1.5728385358 0.9529334731
15539670 1.5730493905 0.9596762319
15541286 1.8620333721 0.9622182797
15544372 1.5374102265 0.9679645147
15544478 1.2415530134 0.9681274802
15544773 4.9346622295 0.9684937383
15549522 4.0927507909 0.9919284493
15551377 1.0580872828 0.9995205020
15553913 1.0436283495 1.0022038113
15555288 1.0395886906 1.0036388003
15557075 1.0375102491 1.0054965453
15557470 1.0386541431 1.0059063619
15557794 1.0427971575 1.0062428858
