position COMBINED_rate(cM/Mb) Genetic_Map(cM)
24170 0.5359896167 0
25057 0.5368013952 0.0004754228
25065 0.5292169195 0.0004797172
25561 0.5287300691 0.0007422088
25658 0.5298104862 0.0007934956
28165 0.5346302485 0.0021217305
29475 0.5875891863 0.0028220961
31010 0.6711797240 0.0037240455
34808 0.6374848961 0.0062731861
35254 0.6188066755 0.0065575044
35481 0.6024429966 0.0066979735
37354 0.8262637568 0.0078263492
41263 1.4104186810 0.0110562143
43423 1.4125088110 0.0141027186
43517 1.4133953812 0.0142354944
45320 0.9319775123 0.0167838463
45444 0.6016064220 0.0168994115
47275 0.6005057705 0.0180009529
48585 0.6025346458 0.0187876154
50165 0.6147211061 0.0197396202
52775 0.6147419545 0.0213440423
53970 2.6303276645 0.0220786589
55041 2.7032299769 0.0248957398
55072 2.7433074789 0.0249795400
55185 2.7399716031 0.0252895337
55657 1.7245783725 0.0265828003
57194 0.6119299593 0.0292334773
59019 0.5200791684 0.0303502494
59729 0.4803246281 0.0307195056
60334 0.4763757724 0.0310101020
61845 0.4762088257 0.0317299058
64161 0.4775235907 0.0328328055
68954 1.1329210899 0.0351215760
69277 2.1873527211 0.0354875096
70406 2.3760309558 0.0379570308
70853 2.4076859103 0.0390191166
71779 2.9390043635 0.0412486338
73093 2.9175988846 0.0451104855
73878 2.7780898394 0.0474008006
73946 2.4137721330 0.0475897107
74457 1.1622207822 0.0488231483
75652 0.9735687907 0.0502120021
76888 0.9252975210 0.0514153332
81659 0.8834391241 0.0558299276
82825 0.8816928093 0.0568600176
83503 0.7750774593 0.0574578054
85032 0.7761536893 0.0586428988
85282 0.3962728128 0.0588369372
85884 0.3363125278 0.0590754935
86172 0.3376819082 0.0591723515
87705 0.3384736783 0.0596900178
87814 0.3393806828 0.0597269115
88009 0.3401930243 0.0597930907
92220 0.3400314426 0.0612256435
92472 0.3399808216 0.0613113314
94844 0.3399124773 0.0621177660
95320 0.3405684056 0.0622795643
95358 0.3405646357 0.0622925059
95966 0.3409823247 0.0624995692
97141 0.3425998874 0.0629002234
101938 0.3738584704 0.0645436751
102998 0.3865423447 0.0649399651
103351 0.3907986923 0.0650764145
103418 0.3953225618 0.0651025980
103598 0.4001536771 0.0651737561
103626 0.4043361101 0.0651849604
104935 0.3689373246 0.0657142364
107408 0.3655207009 0.0666266184
108534 0.3510267272 0.0670381947
108691 0.4202985575 0.0670933059
110328 0.3349229900 0.0677813346
115186 0.3380977785 0.0694083905
116743 0.3373666229 0.0699348087
120719 0.3374454060 0.0712761784
122467 0.3389743517 0.0718660330
124242 0.4579192718 0.0724677125
124390 0.6788311417 0.0725354845
125102 0.6999662118 0.0730188123
125123 1.0916692024 0.0730335116
127429 3.7495660456 0.0755509008
130005 3.7501247283 0.0852097829
132314 3.7443941369 0.0938688209
135176 3.6289132511 0.1045852769
138835 3.5640809547 0.1178634705
140073 3.5653472383 0.1222758027
141389 3.5668945472 0.1269677997
142927 3.5319789452 0.1324536835
145035 0.4141771740 0.1398990951
151243 0.4141622447 0.1424703070
152649 0.4127620159 0.1430526191
161057 0.3635549619 0.1465231222
165653 0.2687301078 0.1481940208
168306 0.2627943232 0.1489069617
174364 0.2622820690 0.1504989698
174428 0.2619226454 0.1505157558
175490 0.2603786865 0.1507939177
180281 0.2289330732 0.1520413919
180896 0.2288854026 0.1521821858
181211 0.1876357270 0.1522542847
187889 0.1859855228 0.1535073161
192480 0.1849067107 0.1543611756
196279 0.1847373812 0.1550636362
199733 0.1842659688 0.1557017191
202300 0.1837892560 0.1561747299
204643 0.1835399344 0.1566053481
205160 0.1834061012 0.1567002382
209034 0.1834041782 0.1574107535
216162 0.1834760849 0.1587180584
216550 0.1902127886 0.1587892472
217125 0.1997896329 0.1588986195
217459 0.2274740141 0.1589653493
217913 0.2668244944 0.1590686225
224557 0.3339427941 0.1608414044
225314 0.4544489047 0.1610941991
226983 0.4799766573 0.1618526743
233563 0.6884166562 0.1650109207
233916 1.1365921376 0.1652539318
234387 1.1347848173 0.1657892667
235719 0.7741488499 0.1673008001
235796 0.3863949743 0.1673604095
238138 0.3786777011 0.1682653466
238251 0.3782934995 0.1683081371
238589 0.3778114813 0.1684360003
240642 0.3772795817 0.1692116473
244515 0.3769304105 0.1706728511
244804 0.3754730745 0.1707817840
244850 0.3751104994 0.1707990558
245378 0.3745593067 0.1709971141
249156 0.3746866382 0.1724121992
250381 0.3757190086 0.1728711903
250575 0.3757454074 0.1729440798
251854 1.4642559529 0.1734246582
252636 1.4698477538 0.1745697063
258414 1.5286229266 0.1830624867
258475 1.6008335235 0.1831557327
259512 8.1181134691 0.1848157970
264404 8.1235871227 0.2245296081
266456 8.1382541885 0.2411992089
266827 8.1407147329 0.2442185012
