position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18309845 0.0972327070 0
18315648 0.0972758255 0.0005642414
18331687 0.1025352826 0.0021244484
18331779 0.1087675243 0.0021338816
18338179 0.2382209092 0.0028299938
18343910 0.5008689420 0.0041952378
18345121 0.5015804769 0.0048017901
18345652 0.1748497338 0.0050681293
18350870 0.1227858667 0.0059804952
18360456 0.1218886258 0.0071575205
18360479 0.1198529802 0.0071603240
18361322 0.1189473184 0.0072613600
18371463 0.1189322817 0.0084676048
18379720 0.1189270791 0.0094496287
18403665 0.1192901343 0.0122973376
18404816 0.1196132531 0.0124346405
18421386 1.6588291213 0.0144166321
18421555 2.0586931253 0.0146969742
18421878 0.5097709493 0.0153619321
18422210 0.5108047978 0.0155311761
18423412 0.5094751274 0.0161451634
18424624 0.4822602644 0.0167626473
18424902 0.3873050932 0.0168967156
18427103 0.2260475709 0.0177491742
18427635 0.2242871626 0.0178694315
18430164 0.2218776601 0.0184366537
18432609 0.2202471782 0.0189791446
18432722 0.2185440434 0.0190040325
18433710 0.2177210051 0.0192199540
18436314 0.2689902047 0.0197868995
18436850 0.3224324325 0.0199310783
18437106 0.3781547959 0.0200136210
18438302 0.3786360206 0.0204658941
18440959 0.3756203326 0.0214719300
18446422 0.3763635361 0.0235239439
18448072 0.3823150805 0.0241449437
18451755 3.4031814075 0.0255530102
18452025 3.4482858743 0.0264718691
18452100 3.4552132941 0.0267304906
18452965 0.0010000000 0.0297192501
18453936 0.0010000000 0.0297202211
18454972 0.0010000000 0.0297212571
18472812 0.0010000000 0.0297390971
18675891 0.0010000000 0.0299421761
18682601 0.0010000000 0.0299488861
18683757 0.0010000000 0.0299500421
18687221 3.1311283430 0.0299535061
18687985 3.1441231539 0.0323456881
18693747 3.1447710517 0.0504621258
18700492 5.0986097998 0.0716736065
18706001 5.1372738389 0.0997618479
18706026 5.1424996481 0.0998902797
18711364 5.5127087625 0.1273409428
18717305 5.5127087625 0.1600919456
18718242 4.7747081100 0.1652573537
18721063 4.7750218420 0.1787268053
18722617 4.7704537499 0.1861471892
18723848 4.7704537499 0.1920196178
18736956 4.7693538277 0.2545507256
18737000 4.7693538277 0.2547605771
18742108 4.7664055304 0.2791224365
18745303 4.7719984966 0.2943511021
18745793 4.7626918533 0.2966893814
18745893 4.7227358868 0.2971656506
18748755 4.7241944130 0.3106821207
18748884 3.7755619763 0.3112915418
18749428 3.7755619763 0.3133454475
18753439 2.8003814003 0.3284892266
18754303 2.8003814003 0.3309087561
18758300 2.8004122640 0.3421018806
18772241 2.8018317765 0.3811424279
18782654 2.8059367456 0.4103179022
18782954 2.8059367456 0.4111596833
18787846 2.8110217901 0.4248863258
18804002 7.4645699253 0.4703011939
18804252 7.7378737968 0.4721673363
18804894 7.8806920144 0.4771350513
18809644 8.2992969451 0.5145683384
18809823 8.5901533971 0.5160539125
18810228 8.5901533971 0.5195329247
18811070 8.4766185862 0.5267658338
18812205 8.2842655084 0.5363867959
18815734 5.9042709413 0.5656219689
18823910 5.7173105936 0.6138952881
18824589 5.1992191850 0.6177773420
18825660 5.2015991555 0.6233457058
18825875 4.9375995013 0.6244640496
18829742 4.9313540936 0.6435577468
18830636 4.9306791850 0.6479663774
18831227 4.9346950955 0.6508804088
18832956 4.4678657175 0.6594124966
18833058 3.8104926380 0.6598682189
18834997 3.7101609432 0.6672567642
18835006 3.5861122567 0.6672901556
18837508 3.5751847305 0.6762626085
18838446 3.5942042519 0.6796161317
18840658 3.6016199662 0.6875665116
18842254 3.6280838348 0.6933146970
18842870 3.8066783863 0.6955495967
18842914 3.9908168385 0.6957170905
18844049 4.1146414292 0.7002466676
18844512 4.2547278058 0.7021517466
18845169 4.4627724470 0.7049471028
18845218 4.5663841249 0.7051657786
18845412 4.6254584256 0.7060516571
18845476 4.6367364775 0.7063476865
18846169 4.6369575134 0.7095609449
18846305 4.6369575134 0.7101915711
18846879 4.6363547642 0.7128531847
18846941 4.6318325002 0.7131406387
18847261 4.6290063956 0.7146228251
18847328 4.6183932463 0.7149329685
18847613 4.5811846914 0.7162492106
18848242 4.4341327235 0.7191307758
18848244 4.3245941344 0.7191396440
18848719 4.2517828386 0.7211938262
18850150 4.0631683219 0.7272781275
18850513 3.9466422088 0.7287530576
18851684 3.6849213621 0.7333745756
18851767 3.2837566692 0.7336804241
18851781 3.1918080480 0.7337263967
18851875 2.6854767464 0.7340264266
18851893 0.9694152372 0.7340747652
18855584 0.9688958001 0.7376528769
18856253 0.9667859271 0.7383010681
18858110 0.9682193272 0.7400963896
18859473 0.9697518679 0.7414160726
18860270 0.9756145731 0.7421889648
18861763 1.4184199218 0.7436455574
18862021 1.4934929058 0.7440115097
18862040 1.5310209266 0.7440398861
18862208 1.4826076166 0.7442970976
18862788 1.4566355638 0.7451570100
18863560 0.6861571321 0.7462815326
18863571 0.5017187451 0.7462890804
18866983 0.5015494702 0.7480009447
18866995 0.4986565099 0.7480069633
18872928 0.6686443942 0.7509654924
18873066 0.8370256696 0.7510577653
18874073 0.8368341039 0.7519006502
18874297 0.8370301312 0.7520881010
18874529 0.8367193083 0.7522822920
18875834 0.8666602244 0.7533742107
18875952 0.8670348128 0.7534764766
18876685 1.7372711362 0.7541120131
18883045 1.7747724073 0.7651610576
18883470 1.7955373874 0.7659153358
18883654 1.8147058626 0.7662457147
18885293 8.2069480143 0.7692200176
18885315 8.9321595082 0.7694005705
18886166 8.9331268669 0.7770018382
18886650 8.9319554746 0.7813254716
18886847 0.0010000000 0.7830850668
18889989 0.0010000000 0.7830882088
19108158 9.6227442369 0.7833063778
19108179 9.8608165421 0.7835084555
19109246 11.2594442805 0.7940299467
19109352 12.1589312327 0.7952234478
19109818 12.1612482862 0.8008895098
19109836 12.1623999197 0.8011084122
19110014 12.1622437574 0.8032733194
19110414 12.1624670649 0.8081382169
19110782 12.1624670649 0.8126140048
19111243 12.1615888332 0.8182209021
19112164 12.1541933624 0.8294217254
19112907 12.1541933624 0.8384522911
19113559 12.1455046887 0.8463768252
19113689 11.3933019567 0.8479557408
19115403 11.3945389934 0.8674838603
